Player_name,Player_height(in),Player_weight,Player_years_experience,Player_age,Games_played,Shots_per_game,Shot_attempts,Shots_made,FG%,Three_attempts,Threes_made,Three%
Bradley Beal,77,207.0,2,22,43,13.02,560,231,0.4125,176,75,0.4261
Brandon Bass,80,250.0,9,30,59,8.03,474,226,0.4768,15,5,0.3333
Brandon Jennings,73,170.0,5,25,41,13.24,543,218,0.4015,211,76,0.3602
Brandon Knight,75,189.0,3,23,58,13.97,810,348,0.4296,293,118,0.4027
Brian Roberts,73,173.0,2,29,59,6.31,372,149,0.4005,153,49,0.3203
Brook Lopez,85,275.0,6,27,49,12.69,622,304,0.4887,8,1,0.125
Carl Landry,81,248.0,7,31,50,5.74,287,146,0.5087,0,0,
Carlos Boozer,81,258.0,12,33,57,9.6,547,281,0.5137,0,0,
Carmelo Anthony,80,240.0,11,31,39,19.82,773,341,0.4411,173,59,0.341
Caron Butler,79,228.0,12,35,56,5.16,289,112,0.3875,156,50,0.3205
Chandler Parsons,82,230.0,3,26,53,12.43,659,298,0.4522,278,104,0.3741
Channing Frye,83,255.0,9,32,61,6.74,411,160,0.3893,298,114,0.3826
Charlie Villanueva,83,232.0,9,31,42,5.74,241,104,0.4315,151,60,0.3974
Chase Budinger,79,209.0,5,27,44,4.5,198,74,0.3737,73,25,0.3425
Chris Andersen,82,245.0,13,37,38,3.58,136,79,0.5809,8,3,0.375
Chris Bosh,83,235.0,11,31,44,16.91,744,343,0.461,168,63,0.375
Chris Copeland,81,239.0,2,31,40,7.15,286,103,0.3601,150,45,0.3
Chris Kaman,85,265.0,11,33,55,7.64,420,204,0.4857,0,0,
Chris Paul,73,175.0,9,30,62,14.26,884,424,0.4796,256,97,0.3789
Cody Zeller,85,240.0,1,22,58,6.12,355,165,0.4648,1,1,1.0
Cole Aldrich,83,250.0,4,26,38,5.0,190,92,0.4842,0,0,
Cory Joseph,75,193.0,3,24,56,5.93,332,167,0.503,35,11,0.3143
Courtney Lee,77,200.0,6,29,57,7.93,452,215,0.4757,162,70,0.4321
D.J. Augustin,73,183.0,6,27,60,8.77,526,214,0.4068,182,61,0.3352
Damian Lillard,75,195.0,2,25,59,16.25,959,411,0.4286,412,136,0.3301
Damjan Rudez,82,228.0,0,29,49,3.9,191,81,0.4241,120,43,0.3583
Danilo Gallinari,82,225.0,6,27,42,8.12,341,126,0.3695,190,63,0.3316
Danny Green,78,215.0,5,28,57,9.37,534,228,0.427,330,130,0.3939
Dante Cunningham,80,230.0,5,28,45,5.44,245,114,0.4653,3,1,0.3333
Dante Exum,78,190.0,0,20,60,4.72,283,97,0.3428,177,53,0.2994
Darrell Arthur,81,235.0,6,27,49,6.8,333,139,0.4174,102,27,0.2647
Darren Collison,73,175.0,5,27,45,12.2,549,259,0.4718,161,60,0.3727
David West,81,250.0,11,35,44,11.32,498,238,0.4779,17,4,0.2353
DeAndre Jordan,83,265.0,6,27,62,6.29,390,279,0.7154,3,0,0.0
DeMarcus Cousins,83,270.0,4,25,45,17.38,782,364,0.4655,3,2,0.6667
DeMarre Carroll,80,215.0,5,29,50,8.88,444,207,0.4662,216,86,0.3981
Dennis Schroder,73,172.0,1,21,56,8.0,448,192,0.4286,91,31,0.3407
Deron Williams,75,200.0,9,31,45,11.31,509,199,0.391,155,57,0.3677
Derrick Favors,82,265.0,4,24,56,12.05,675,368,0.5452,1,0,0.0
Derrick Rose,75,190.0,6,26,46,16.35,752,304,0.4043,242,66,0.2727
Derrick Williams,80,240.0,3,24,46,6.2,285,128,0.4491,82,25,0.3049
Devin Harris,75,192.0,10,32,60,7.07,424,170,0.4009,229,79,0.345
Dirk Nowitzki,85,245.0,16,37,58,13.86,804,370,0.4602,205,72,0.3512
